league,pos,team,year,round,stage
FOOTBALL CONFERENCE ,3.0,DAGENHAM & REDBRIDGE,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,YEOVIL TOWN,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,SLOUGH TOWN,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,STAFFORD RANGERS,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,BATH CITY,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,WOKING,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,KIDDERMINSTER HARRIERS,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,ALTRINCHAM,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,KETTERING TOWN,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,GATESHEAD,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,WITTON ALBION,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,MACCLESFIELD TOWN,1993.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,KIDDERMINSTER HARRIERS,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,KETTERING TOWN,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,WOKING,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,RUNCORN,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,MACCLESFIELD TOWN,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,BATH CITY,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,FC HALIFAX TOWN,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,STALYBRIDGE CELTIC,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,TELFORD UNITED,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,BROMSGROVE ROVERS,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,19.0,YEOVIL TOWN,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,SLOUGH TOWN,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,22.0,WITTON ALBION,1994.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,WOKING,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,SOUTHPORT,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,ALTRINCHAM,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,KETTERING TOWN,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,FC HALIFAX TOWN,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,RUNCORN,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,NORTHWICH VICTORIA,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,KIDDERMINSTER HARRIERS,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,BATH CITY,1995.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,STEVENAGE,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,WOKING,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,KIDDERMINSTER HARRIERS,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,NORTHWICH VICTORIA,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,FARNBOROUGH,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,BROMSGROVE ROVERS,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,ALTRINCHAM,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,TELFORD UNITED,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,SLOUGH TOWN,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,RUNCORN,1996.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,MACCLESFIELD TOWN,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,KIDDERMINSTER HARRIERS,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,STEVENAGE,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,MORECAMBE,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,WOKING,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,NORTHWICH VICTORIA,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,FARNBOROUGH,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,HEDNESFORD TOWN,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,SOUTHPORT,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,RUSHDEN & DIAMONDS,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,STALYBRIDGE CELTIC,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,HAYES & YEADING UNITED,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,WELLING UNITED,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,22.0,ALTRINCHAM,1997.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,CHELTENHAM TOWN,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,WOKING,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,MORECAMBE,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,HEREFORD UNITED,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,HEDNESFORD TOWN,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,SLOUGH TOWN,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,NORTHWICH VICTORIA,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,HAYES & YEADING UNITED,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,STEVENAGE,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,16.0,SOUTHPORT,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,FARNBOROUGH,1998.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,CHELTENHAM TOWN,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,HAYES & YEADING UNITED,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,RUSHDEN & DIAMONDS,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,YEOVIL TOWN,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,STEVENAGE,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,KINGSTONIAN,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,WOKING,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,HEDNESFORD TOWN,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,KIDDERMINSTER HARRIERS,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,16.0,DONCASTER ROVERS,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,TELFORD UNITED,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,SOUTHPORT,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,WELLING UNITED,1999.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,RUSHDEN & DIAMONDS,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,MORECAMBE,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,KINGSTONIAN,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,YEOVIL TOWN,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,HEREFORD UNITED,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,SOUTHPORT,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,HAYES & YEADING UNITED,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,DONCASTER ROVERS,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,KETTERING TOWN,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,HEDNESFORD TOWN,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,19.0,FOREST GREEN ROVERS,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,WELLING UNITED,2000.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,RUSHDEN & DIAMONDS,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,YEOVIL TOWN,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,DAGENHAM & REDBRIDGE,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,SOUTHPORT,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,TELFORD UNITED,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,WOKING,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,16.0,FOREST GREEN ROVERS,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,NORTHWICH VICTORIA,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,HAYES & YEADING UNITED,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,19.0,MORECAMBE,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,KETTERING TOWN,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,KINGSTONIAN,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,22.0,HEDNESFORD TOWN,2001.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,DAGENHAM & REDBRIDGE,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,DONCASTER ROVERS,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,BARNET,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,MORECAMBE,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,FARNBOROUGH,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,NORTHWICH VICTORIA,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,SOUTHPORT,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,HEREFORD UNITED,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,FOREST GREEN ROVERS,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,HAYES & YEADING UNITED,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,STALYBRIDGE CELTIC,2002.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,YEOVIL TOWN,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,MORECAMBE,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,DONCASTER ROVERS,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,DAGENHAM & REDBRIDGE,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,HEREFORD UNITED,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,SCARBOROUGH,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,FOREST GREEN ROVERS,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,MARGATE,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,STEVENAGE,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,FARNBOROUGH,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,NORTHWICH VICTORIA,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,16.0,BURTON ALBION,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,SOUTHPORT,2003.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,HEREFORD UNITED,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,SHREWSBURY TOWN,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,BARNET,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,ALDERSHOT TOWN,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,STEVENAGE,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,WOKING,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,ACCRINGTON STANLEY,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,TELFORD UNITED,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,BURTON ALBION,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,SCARBOROUGH,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,FARNBOROUGH,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,22.0,NORTHWICH VICTORIA,2004.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,BARNET,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,HEREFORD UNITED,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,CARLISLE UNITED,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,ALDERSHOT TOWN,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,STEVENAGE,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,EXETER CITY,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,MORECAMBE,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,WOKING,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,FC HALIFAX TOWN,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,DAGENHAM & REDBRIDGE,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,TAMWORTH,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,CANVEY ISLAND,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,FOREST GREEN ROVERS,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,1.0,SOUTHPORT,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,8.0,STAFFORD RANGERS,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,12.0,HINCKLEY UNITED,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,13.0,LANCASTER CITY,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,14.0,ALFRETON TOWN,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,15.0,VAUXHALL MOTORS(W CHESH),2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,2.0,CAMBRIDGE CITY,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,3.0,THURROCK,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,12.0,HAYES & YEADING UNITED,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,17.0,HORNCHURCH,2005.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,HEREFORD UNITED,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,GRAYS ATHLETIC,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,FC HALIFAX TOWN,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,MORECAMBE,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,STEVENAGE,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,YORK CITY,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,BURTON ALBION,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,DAGENHAM & REDBRIDGE,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,WOKING,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,ALDERSHOT TOWN,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,SOUTHPORT,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,TAMWORTH,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,1.0,NORTHWICH VICTORIA,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,5.0,HARROGATE TOWN,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,6.0,KETTERING TOWN,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,8.0,WORCESTER CITY,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,22.0,HEDNESFORD TOWN,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,1.0,WEYMOUTH,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,5.0,HISTON,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,7.0,CAMBRIDGE CITY,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,9.0,WELLING UNITED,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,17.0,EASTBOURNE BOROUGH,2006.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,OXFORD UNITED,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,MORECAMBE,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,YORK CITY,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,EXETER CITY,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,BURTON ALBION,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,STEVENAGE,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,ALDERSHOT TOWN,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,KIDDERMINSTER HARRIERS,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,WEYMOUTH,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,RUSHDEN & DIAMONDS,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,NORTHWICH VICTORIA,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,WOKING,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,STAFFORD RANGERS,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,22.0,TAMWORTH,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,2.0,KETTERING TOWN,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,5.0,FARSLEY CELTIC,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,12.0,GAINSBOROUGH TRINITY,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,16.0,BARROW,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,2.0,SALISBURY CITY,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,4.0,HAVANT & WATERLOOVILLE,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,5.0,BISHOP'S STORTFORD,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,6.0,NEWPORT COUNTY,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,9.0,LEWES,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,16.0,YEADING,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,19.0,BASINGSTOKE TOWN,2007.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,ALDERSHOT TOWN,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,CAMBRIDGE UNITED,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,TORQUAY UNITED,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,EXETER CITY,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,BURTON ALBION,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,STEVENAGE,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,HISTON,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,FOREST GREEN ROVERS,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,9.0,OXFORD UNITED,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,KIDDERMINSTER HARRIERS,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,YORK CITY,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,16.0,RUSHDEN & DIAMONDS,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,WEYMOUTH,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,19.0,NORTHWICH VICTORIA,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,FC HALIFAX TOWN,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,ALTRINCHAM,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,24.0,DROYLSDEN,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,5.0,BARROW,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,11.0,GAINSBOROUGH TRINITY,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,14.0,WORKINGTON,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,1.0,LEWES,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,2.0,EASTBOURNE BOROUGH,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,3.0,HAMPTON & RICHMOND BOROUGH,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,7.0,HAVANT & WATERLOOVILLE,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,17.0,MAIDENHEAD UNITED,2008.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,CAMBRIDGE UNITED,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,HISTON,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,TORQUAY UNITED,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,STEVENAGE,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,KIDDERMINSTER HARRIERS,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,OXFORD UNITED,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,KETTERING TOWN,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,MANSFIELD TOWN,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,EASTBOURNE BOROUGH,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,EBBSFLEET UNITED,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,ALTRINCHAM,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,FOREST GREEN ROVERS,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,19.0,GRAYS ATHLETIC,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,BARROW,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,3.0,ALFRETON TOWN,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,4.0,AFC TELFORD UNITED,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,7.0,DROYLSDEN,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,8.0,FLEETWOOD TOWN,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE NORTH,15.0,BLYTH SPARTANS,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,1.0,AFC WIMBLEDON,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,11.0,TEAM BATH,2009.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE SOUTH,15.0,HAVANT & WATERLOOVILLE,2009.0,FIRST ROUND PROPER,8.0
